2023-09-27 09:31:56,146: 'h'
2023-09-27 09:31:56,334: 'u'
2023-09-27 09:31:56,759: 'k'
2023-09-27 09:31:57,122: 'u'
2023-09-27 09:31:57,393: 'm'
2023-09-27 09:31:58,052: Key.space
2023-09-27 09:31:58,620: 't'
2023-09-27 09:31:58,744: 'i'
2023-09-27 09:31:59,609: 'g'
2023-09-27 09:31:59,766: 'e'
2023-09-27 09:31:59,985: 'r'
2023-09-27 09:32:00,241: Key.space
2023-09-27 09:32:00,534: 'k'
2023-09-27 09:32:00,709: 'a'
2023-09-27 09:32:00,866: Key.space
2023-09-27 09:32:01,436: 'h'
2023-09-27 09:32:01,603: 'u'
2023-09-27 09:32:02,046: 'k'
2023-09-27 09:32:02,256: 'u'
2023-09-27 09:32:02,512: 'm'
2023-09-27 09:32:07,106: Key.enter
2023-09-27 09:32:09,375: Key.ctrl_r
2023-09-27 09:32:10,741: Key.space
